"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.filter.Filter",18,3,3,3,3,2,1,2,2
"br.com.trevisantecnologia.umov.watcher.monitor.ExportingMonitor",18,2,2,2,5,2,1,3,1
"br.com.trevisantecnologia.umov.watcher.monitor.AnalyzeOverdueScheduleMonitor",18,2,2,2,5,2,1,3,1
"br.com.trevisantecnologia.umov.watcher.monitor.SendReportScheduleExecutionMonitor",18,2,2,2,5,2,1,3,1
"br.com.trevisantecnologia.umov.watcher.monitor.ScheduleImageImportMonitor",18,2,2,2,5,2,1,3,1
"br.com.trevisantecnologia.umov.watcher.monitor.SchedulePhotoToUploadMonitor",18,2,2,2,5,2,1,3,1
"br.com.trevisantecnologia.umov.watcher.dao.impl.CustomFieldDaoImpl",18,2,2,3,6,2,3,3,0
"br.com.trevisantecnologia.umov.watcher.service.EntityFeederService",18,1,1,2,5,2,1,2,1
"br.com.trevisantecnologia.umov.watcher.dao.impl.FilterFactory",18,1,1,3,4,3,0,3,2
"br.com.trevisantecnologia.umov.watcher.model.RemoteChangePasswordResult",17,4,4,4,0,0,0,0,2
"br.com.trevisantecnologia.umov.watcher.model.SchedulePhotoUpload",17,4,4,4,0,0,1,0,2
"br.com.trevisantecnologia.umov.watcher.template.MailTemplateBuilder",17,3,3,3,3,0,0,0,1
"br.com.trevisantecnologia.umov.watcher.monitor.AnalyzeScheduleMonitor",17,2,2,2,4,2,1,3,1
"br.com.trevisantecnologia.umov.watcher.monitor.ApiCallbackMonitor",17,2,2,2,4,2,1,3,1
"br.com.trevisantecnologia.umov.watcher.monitor.ImportingMonitor",17,2,2,2,4,2,1,3,1
"br.com.trevisantecnologia.umov.watcher.service.EventService",17,2,2,2,5,3,0,4,1
"br.com.trevisantecnologia.umov.watcher.service.ScheduleNotificationService",17,2,2,2,5,3,1,4,1
"br.com.trevisantecnologia.umov.watcher.mapping.ActivityEntityMapper",17,1,0,4,3,3,0,4,0
"br.com.trevisantecnologia.umov.watcher.feeder.domain.builder.criteria.FeedCriteriaFactory",17,1,1,3,3,1,1,2,3
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.notification.param.ParamFactory",17,1,1,3,3,2,1,2,0
"br.com.trevisantecnologia.umov.watcher.dao.impl.EventAnalyzeOverdueScheduleViewDaoImpl",17,1,0,2,5,4,1,6,0
"br.com.trevisantecnologia.umov.watcher.dao.impl.EventExportViewDaoImpl",17,1,0,2,5,4,1,6,0
"br.com.trevisantecnologia.umov.watcher.dao.impl.EventImportViewDaoImpl",17,1,0,2,5,4,1,6,0
"br.com.trevisantecnologia.umov.watcher.mapping.ServiceLocalMapper",16,3,3,3,0,0,0,1,1
"br.com.trevisantecnologia.umov.watcher.mapping.ScheduleMapper",16,3,3,3,0,0,0,1,1
"br.com.trevisantecnologia.umov.watcher.mapping.AgentMapper",16,3,3,3,0,0,0,1,1
"br.com.trevisantecnologia.umov.watcher.feeder.domain.operations.handler.DeleteHandler",16,1,1,2,4,4,0,5,0
"br.com.trevisantecnologia.umov.watcher.feeder.domain.operations.handler.SaveHandler",16,1,1,2,4,4,0,5,0
"br.com.trevisantecnologia.umov.watcher.dao.impl.ScheduleNotificationDaoImpl",16,1,1,1,6,2,1,3,0
"br.com.trevisantecnologia.umov.watcher.dao.impl.ActivityHistoryPhotoDaoImpl",16,1,1,1,7,2,1,3,0
"br.com.trevisantecnologia.umov.watcher.dao.impl.ExportLayoutDaoImpl",16,1,1,1,7,2,2,3,0
"br.com.trevisantecnologia.umov.watcher.dao.impl.SectionFieldDaoImpl",16,1,1,2,5,3,1,4,0
"br.com.trevisantecnologia.umov.watcher.model.ItemFilterDTO",15,4,4,4,0,0,22,0,1
"br.com.trevisantecnologia.umov.watcher.mapping.EntityConditionMapper",15,2,2,2,4,3,2,5,1
"br.com.trevisantecnologia.umov.watcher.ioc.guice.WatcherInjector",15,2,1,4,2,0,2,1,2
"br.com.trevisantecnologia.umov.watcher.feeder.domain.operations.handler.OperantionHandler",15,2,1,2,5,4,3,4,1
"br.com.trevisantecnologia.umov.watcher.serialize.GsonSerializer",15,2,2,2,2,0,3,0,1
"me.umov.photo.serialize.GsonSerializer",15,2,2,2,2,0,0,0,1
"br.com.trevisantecnologia.umov.watcher.ioc.guice.AWSClientSQSImageImporterProvider",15,1,1,1,5,2,0,3,1
"br.com.trevisantecnologia.umov.watcher.ioc.guice.AWSClientSQSPhotoManagerProvider",15,1,1,1,5,2,0,3,1
"br.com.trevisantecnologia.umov.watcher.service.DefaultSystemSettingsService",15,1,1,2,3,2,2,2,2
"br.com.trevisantecnologia.umov.watcher.dao.impl.ScheduleFeedDaoImpl",15,1,1,1,6,2,1,3,1
"br.com.trevisantecnologia.umov.watcher.dao.impl.FeedDaoImpl",15,1,1,1,6,2,1,3,0
"br.com.trevisantecnologia.umov.watcher.dao.impl.ExportLayoutActivityDaoImpl",15,1,1,1,6,3,2,4,0
"br.com.trevisantecnologia.umov.watcher.dao.impl.SectionDaoImpl",15,1,1,2,4,2,1,4,0
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.aplication.UnavailableAgents",15,1,1,1,5,4,1,5,1
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.observer.AgentUnavailableObserver",14,1,1,2,3,2,2,3,1
"br.com.trevisantecnologia.umov.watcher.eca.action.ScheduleTranslator",14,1,1,1,4,3,1,3,0
"br.com.trevisantecnologia.umov.watcher.feeder.domain.operations.handler.OperationHandlerFactory",14,1,1,2,2,0,1,0,2
"br.com.trevisantecnologia.umov.watcher.model.Condition",13,3,3,3,0,0,3,2,1
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.exceptions.TaskFinisherException",13,3,3,3,0,0,6,1,1
"br.com.trevisantecnologia.umov.watcher.types.TypeResolver",13,2,2,2,2,0,1,0,1
"br.com.trevisantecnologia.umov.watcher.service.ServiceLocalService",13,1,1,1,4,3,0,4,1
"br.com.trevisantecnologia.umov.watcher.service.SmsService",13,1,1,1,4,3,1,4,1
"br.com.trevisantecnologia.umov.watcher.feeder.domain.model.ExecuteInformation",12,9,9,9,0,0,14,0,0
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.FinishTaskDTO",12,6,6,6,3,2,1,2,0
"br.com.trevisantecnologia.umov.watcher.feeder.domain.port.IHistoryItemFeed",12,3,3,3,6,5,1,5,0
"br.com.trevisantecnologia.umov.watcher.feeder.domain.port.ICustomFieldFeed",12,3,3,3,6,5,4,5,0
"br.com.trevisantecnologia.umov.watcher.feeder.domain.builder.criteria.FeedCriteriaService",12,2,1,2,2,2,3,2,0
"br.com.trevisantecnologia.umov.watcher.dao.SessionVariableDao",12,2,1,2,2,1,2,5,0
"br.com.trevisantecnologia.umov.watcher.persistence.CustomPostgreSQLDialect",12,1,1,1,3,0,0,1,0
"br.com.trevisantecnologia.umov.watcher.service.AuditService",12,1,1,1,2,1,1,1,1
"br.com.trevisantecnologia.umov.watcher.types.BooleanCharacterType",12,1,1,1,3,0,0,1,3
