"method","loc","cyclo","calls","nbd","param"
"edu.umd.cs.findbugs.detect.FindRefComparison.checkRefComparison(Location location, JavaClass jclass, Method method, MethodGen methodGen, RefComparisonTypeFrameModelingVisitor visitor, TypeDataflow typeDataflow, List<WarningWithProperties> stringComparisonList, List<WarningWithProperties> refComparisonList)",60,16,35,5,8
"edu.umd.cs.findbugs.detect.UselessSubclassMethod.visitCode(Code obj)",43,16,23,5,1
"edu.umd.cs.findbugs.TextUICommandLine.configureEngine(IFindBugsEngine findBugs)",106,16,34,4,1
"edu.umd.cs.findbugs.ba.Hierarchy.resolveMethodCallTargets(ReferenceType receiverType, InvokeInstruction invokeInstruction, ConstantPoolGen cpg, boolean receiverTypeIsExact)",87,16,35,4,4
"edu.umd.cs.findbugs.util.TopologicalSort$Worker2.compute()",78,16,39,4,0
"edu.umd.cs.findbugs.classfile.impl.ClassPathBuilder.createFindBugsLibWorkList(String jarFileName)",72,16,21,4,1
"edu.umd.cs.findbugs.ProjectPackagePrefixes.report()",65,16,39,4,0
"edu.umd.cs.findbugs.ba.ClassContext.linesMentionedMultipleTimes(Method method)",65,16,25,4,1
"edu.umd.cs.findbugs.visitclass.Util.getSizeOfSurroundingTryBlock(ConstantPool constantPool, Code code, @CheckForNull @SlashedClassName String vmNameOfExceptionClass, int pc)",49,16,13,4,4
"edu.umd.cs.findbugs.workflow.MergeSummarizeAndView.load()",76,16,30,3,0
"edu.umd.cs.findbugs.ba.type.StandardTypeMerger.mergeTypes(Type a, Type b)",47,16,12,2,2
"edu.umd.cs.findbugs.detect.BadUseOfReturnValue.sawOpcode(int seen)",26,16,18,2,1
"edu.umd.cs.findbugs.detect.WaitInLoop.sawOpcode(int seen)",24,16,15,2,1
"edu.umd.cs.findbugs.detect.UnreadFields.visit(JavaClass obj)",52,15,35,11,1
"edu.umd.cs.findbugs.ba.npe.IsNullValueFrameModelingVisitor.handleInvoke(InvokeInstruction obj)",82,15,37,7,1
"edu.umd.cs.findbugs.detect.Naming.visit(JavaClass obj)",44,15,31,7,1
"edu.umd.cs.findbugs.ba.vna.ValueNumberFrameModelingVisitor.visitINVOKESTATIC(INVOKESTATIC obj)",60,15,28,6,1
"edu.umd.cs.findbugs.classfile.engine.bcel.FinallyDuplicatesInfoFactory.analyze(IAnalysisCache analysisCache, MethodDescriptor descriptor)",51,15,33,6,2
"edu.umd.cs.findbugs.classfile.engine.bcel.ValueRangeAnalysisFactory.convertNumber(String signature, Number number)",39,15,4,6,2
"edu.umd.cs.findbugs.ba.npe.NullDerefAndRedundantComparisonFinder.reportBugs(Map<ValueNumber,NullValueUnconditionalDeref> nullValueGuaranteedDerefMap, HashSet<ValueNumber> npeIfStatementCovered, Map<ValueNumber,SortedSet<Location>> bugLocationMap, Map<ValueNumber,Set<Location>> nullValueAssignmentMap)",76,15,32,5,4
"edu.umd.cs.findbugs.detect.FindMismatchedWaitOrNotify.analyzeMethod(ClassContext classContext, Method method)",71,15,33,5,2
"edu.umd.cs.findbugs.detect.FindRefComparison.handleStringComparison(JavaClass jclass, Method method, MethodGen methodGen, RefComparisonTypeFrameModelingVisitor visitor, List<WarningWithProperties> stringComparisonList, Location location, Type lhsType, Type rhsType)",53,15,22,5,8
"edu.umd.cs.findbugs.detect.DumbMethods$VacuousComparisonSubDetector.sawOpcode(int seen)",33,15,15,5,1
"edu.umd.cs.findbugs.ba.generic.GenericUtilities.getType(String signature)",73,15,27,4,1
"edu.umd.cs.findbugs.detect.ExplicitSerialization.sawOpcode(int seen)",56,15,27,4,1
