"method","loc","cyclo","calls","nbd","param"
"com.puppycrawl.tools.checkstyle.internal.XdocsPagesTest.getSubSectionName(int subSectionPos)",31,8,0,7,1
"com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariableFalsePositives.foo45()",25,8,0,6,0
"com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariableFalsePositives.foo26()",18,8,0,6,0
"com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariableFalsePositives.foo39()",18,8,0,6,0
"com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariableFalsePositives.foo73()",18,8,0,6,0
"com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariableFalsePositives.foo8()",18,8,0,6,0
"com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariableFalsePositives.foo11()",17,8,0,6,0
"com.puppycrawl.tools.checkstyle.Main.runCli(CliOptions options, List<File> filesToProcess)",65,8,28,5,2
"com.puppycrawl.tools.checkstyle.internal.XdocsJavaDocsTest.appendNodeText(StringBuilder result, Node node)",52,8,32,5,2
"com.puppycrawl.tools.checkstyle.checks.coding.equalsavoidnull.NewTest.foo(String param)",23,8,10,5,1
"com.google.checkstyle.test.chapter4formatting.rule462horizontalwhitespace.InputParenPad$ParenPadNoSpace.method(boolean status)",22,8,1,5,1
"com.google.checkstyle.test.chapter4formatting.rule462horizontalwhitespace.InputParenPad$ParenPadSpaceLeft.method(boolean status)",22,8,1,5,1
"com.google.checkstyle.test.chapter4formatting.rule462horizontalwhitespace.InputParenPad$ParenPadSpaceRight.method(boolean status)",22,8,1,5,1
"com.puppycrawl.tools.checkstyle.checks.whitespace.parenpad.InputParenPadLeftRightAndNoSpace$ParenPadNoSpace.method(boolean status)",22,8,1,5,1
"com.puppycrawl.tools.checkstyle.checks.whitespace.parenpad.InputParenPadLeftRightAndNoSpace$ParenPadSpaceLeft.method(boolean status)",22,8,1,5,1
"com.puppycrawl.tools.checkstyle.checks.whitespace.parenpad.InputParenPadLeftRightAndNoSpace$ParenPadSpaceRight.method(boolean status)",22,8,1,5,1
"com.puppycrawl.tools.checkstyle.ConfigurationLoader.parsePropertyString(String value, List<String> fragments, List<String> propertyRefs)",70,8,20,4,3
"com.puppycrawl.tools.checkstyle.JavadocDetailNodeParser.getMissedHtmlTag(RecognitionException exception)",54,8,14,4,1
"com.puppycrawl.tools.checkstyle.checks.modifier.ModifierOrderCheck.checkOrderSuggestedByJls(List<DetailAST> modifiers)",49,8,9,4,1
"com.puppycrawl.tools.checkstyle.internal.AllTestsTest.verifyInputFile(Map<String,List<String>> allTests, File file)",39,8,17,4,2
"com.puppycrawl.tools.checkstyle.checks.javadoc.AbstractJavadocCheck.visitToken(DetailAST blockCommentNode)",38,8,28,4,1
"com.puppycrawl.tools.checkstyle.checks.indentation.CommentsIndentationCheck.visitComment(DetailAST comment)",34,8,18,4,1
"com.puppycrawl.tools.checkstyle.checks.coding.CovariantEqualsCheck.visitToken(DetailAST ast)",31,8,10,4,1
"com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocTagContinuationIndentationCheck.visitJavadocToken(DetailNode ast)",17,8,14,4,1
"com.puppycrawl.tools.checkstyle.checks.blocks.leftcurly.InputLeftCurlyDefault3.foo()",59,8,2,3,0
"com.puppycrawl.tools.checkstyle.checks.blocks.rightcurly.InputRightCurlyLeft.foo()",59,8,2,3,0
"com.google.checkstyle.test.chapter4formatting.rule412nonemptyblocks.InputRightCurlyOther.foo()",55,8,2,3,0
"com.google.checkstyle.test.chapter4formatting.rule412nonemptyblocks.InputRightCurlyOtherAlone.foo()",55,8,2,3,0
"com.puppycrawl.tools.checkstyle.checks.indentation.AbstractExpressionHandler.checkLinesIndent(LineSet lines, IndentLevel indentLevel, boolean firstLineMatches, int firstLine)",50,8,12,3,4
"com.puppycrawl.tools.checkstyle.XMLLogger.isReference(String ent)",39,8,12,3,1
"com.puppycrawl.tools.checkstyle.utils.CheckUtil.isSetterMethod(final DetailAST ast)",35,8,15,3,1
"com.puppycrawl.tools.checkstyle.utils.CheckUtil.isGetterMethod(final DetailAST ast)",34,8,14,3,1
"com.puppycrawl.tools.checkstyle.checks.modifier.RedundantModifierCheck.visitToken(DetailAST ast)",28,8,14,3,1
"com.puppycrawl.tools.checkstyle.utils.ScopeUtil.isInBlockOf(DetailAST node, int tokenType)",28,8,3,3,2
"com.puppycrawl.tools.checkstyle.checks.whitespace.WhitespaceAroundCheck.visitToken(DetailAST ast)",24,8,19,3,1
"com.puppycrawl.tools.checkstyle.checks.coding.DefaultComesLastCheck.visitToken(DetailAST ast)",22,8,13,3,1
"com.puppycrawl.tools.checkstyle.checks.design.FinalClassCheck.leaveToken(DetailAST ast)",15,8,12,3,1
"com.puppycrawl.tools.checkstyle.checks.blocks.NeedBracesCheck.isSingleLineStatement(DetailAST statement)",44,8,8,2,1
"com.puppycrawl.tools.checkstyle.checks.metrics.JavaNCSSCheck.isExpressionCountable(DetailAST ast)",31,8,4,2,1
"com.puppycrawl.tools.checkstyle.checks.whitespace.OperatorWrapCheck.visitToken(DetailAST ast)",24,8,15,2,1
